siteId,CGId
RH,cat10220036
RH,cat10250052
RH,cat15790016
RH,cat10220044
RH,cat10220038
RH,cat24710015
RH,cat10210013
RH,cat3870024
RH,cat10210006
RH,cat3860030
RH,cat10180114
RH,cat21400034
RH,cat8690012
RH,cat10220049
RH,cat14600187
RH,cat16860001
RH,cat1695101
RH,cat10180083
RH,cat10250054
RH,cat3200001
RH,cat3850032
RH,cat3870065
RH,cat10890127
RH,cat10210014
RH,cat1695091
RH,cat1476019
RH,cat10210005
RH,cat14510001
RH,cat1695139
RH,cat9780025
RH,cat10180112
RH,cat10180128
RH,cat10210007
RH,cat12670001
RH,cat13570015
RH,cat17600070
RH,cat6330026
RH,cat6330025
RH,cat11230028
RH,cat16810009
RH,cat18570019
RH,cat16850026
RH,cat14240133
RH,cat3850031
RH,cat16810008
RH,cat17860005
RH,cat16850047
RH,cat10890129
RH,cat8710036
RH,cat16800001
RH,cat3890205
RH,cat6320112
RH,cat23660046
RH,cat9780026
RH,cat3850009
RH,cat23660045
RH,cat3870063
RH,cat3870175
RH,cat3870033
MO,cat7030267
RH,cat16360014
RH,cat22800004
RH,cat6330024
RH,cat25450028
RH,cat26600040
RH,cat16900147
RH,cat6330022
RH,cat3850006
RH,cat10250050
RH,cat10920128
RH,cat1582026
MO,cat7030092
RH,cat1701016
BC,rhbc_cat358022
RH,cat10210018
RH,cat16360016
RH,cat10920127
RH,cat10250052OD
RH,cat12620419
OD,cat3860030
RH,cat6330020
RH,cat610002
BC,rhbc_cat377473
MO,cat7030245
TN,rhbc_cat509015
RH,cat3870207
MO,cat7030266
RH,cat10640001
RH,cat16360015
RH,cat7530016
RH,cat17230011
RH,cat16360017
MO,cat15870001
MO,cat7030240
RH,cat19360001
RH,cat21730002
RH,cat14540050
RH,cat1695093
IN,cat25020019
MO,cat7030093
MO,cat7030338
RH,cat5610004
RH,cat16850022
RH,cat1542032
IN,cat25470032
BH,cat17200013
RH,cat18570045
RH,cat18570025
BH,cat17600079
RH,cat15620018
RH,cat4010283
RH,cat12080007
RH,cat14310031
RH,cat24910033
MO,cat7030112
MO,cat7140221
IN,cat22720030
RH,cat9780028
RH,cat1850051
RH,cat16850027
BH,cat3860030
RH,cat10250053
RH,cat9780027
RH,cat9650001
RH,cat3850029
MO,cat7640123