siteId,ProductId
RH,prod9740156
RH,prod6452355
RH,prod6511682
RH,prod1214115
RH,prod6490278
RH,prod6490263
RH,prod1596003
RH,prod2020027
RH,prod9740015
RH,prod1159311
RH,prod20240042
RH,prod20250031
RH,prod11830032
RH,prod20240025
RH,prod1159290
RH,prod11230040
RH,prod14890228
RH,prod13650091
RH,prod15970044
RH,prod18890270
RH,prod190091
RH,prod1606015
RH,prod7030019
RH,prod1158640
RH,prod1159401
RH,prod17310059
RH,prod22040017
RH,prod26350167
RH,prod24510151
RH,prod24510156
RH,prod24881044
RH,prod25090471
RH,prod1158634
RH,prod1248037
RH,prod12740432
RH,prod5700052
RH,prod7411002
RH,prod17400317
RH,prod9740013
RH,prod6371044
RH,prod24510154
RH,prod18890297
RH,prod2890089
RH,prod1860791
RH,prod25150336
RH,prod2701336
RH,prod6500198
RH,prod21090043
RH,prod2480773
RH,prod12440070
RH,prod9300244
RH,prod26350179
RH,prod9300196
RH,prod1643001
RH,prod6660062
RH,prod7820650
RH,prod2820225
RH,prod19250182
RH,prod17590058
TN,rhtn_prod107144
RH,prod6470111
RH,prod11830030
RH,prod22450056
RH,prod12910003
RH,prod8760143
RH,prod15180034
RH,prod7571022
RH,prod1159391
RH,prod20360996
RH,prod9290017
RH,prod20810165
RH,prod18130144
RH,prod19030095
RH,prod18340514
RH,prod7410999
RH,prod14920059
RH,prod9190127
RH,prod1159089
RH,prod17940052
RH,prod17190015
RH,prod6450191
RH,prod1617246
RH,prod12740427
RH,prod17400316
RH,prod2480706
RH,prod6450509
RH,prod12270006
RH,prod24510155
RH,prod15980099
RH,prod19220054
RH,prod14890128
RH,prod10730039
RH,prod7571036
RH,prod10330200
RH,prod2260004
RH,prod2320313
RH,prod14890127
RH,prod1283107
RH,prod190018
RH,prod10810111
RH,prod25310135
RH,prod18890290
BC,rhbc_prod962396
RH,prod7411004
RH,prod13360574
RH,prod1643003
RH,prod9740017
RH,prod26210418
RH,prod26350238
RH,prod1870612
TN,rhtn_prod104197
RH,prod12270007
RH,prod18890271
RH,prod18890291
RH,prod6470114
RH,prod11190017
RH,prod1293029
BC,rhbc_prod960400
RH,prod6371042
RH,prod5890015
RH,prod7060157
RH,prod2511257
RH,prod18890298
RH,prod25380196
RH,prod14890048
RH,prod10770021
RH,prod9240009
MO,prod10810133
RH,prod27490092
RH,prod19220131
RH,prod25310136
RH,prod25160051
RH,prod6490271
RH,prod3250241
RH,prod20480291
RH,prod20770012
RH,prod13330103
RH,prod24920128
RH,prod17400331
RH,prod1161360
BC,rhbc_prod482278
RH,prod8760142
RH,prod8780018
RH,prod1140003
RH,prod17450478
RH,prod2890090
BC,rhbc_prod261003
RH,prod690592
RH,prod20240041
RH,prod13330146
RH,prod12230007
RH,prod20810192
RH,prod15970043
RH,prod1617174
RH,prod7120087
RH,prod8780316
RH,prod6451490
RH,prod2500669
RH,prod17550086
RH,prod17660287
RH,prod13330144
RH,prod15180036
RH,prod17460670
RH,prod25310131
RH,prod8760159
RH,prod8760166
RH,prod10550017
RH,prod15980102
RH,prod18890296
RH,prod17460662
RH,prod17310060
RH,prod22300412
RH,prod1293031
RH,prod6490275
RH,prod16640054
RH,prod2701464
RH,prod18130155
RH,prod6470115
RH,prod16920110
RH,prod9260110
RH,prod13391446
RH,prod2400091
RH,prod14450078
RH,prod12640167
RH,prod2701997
RH,prod17450517
RH,prod20810025
RH,prod17450477
RH,prod2590010
RH,prod8760158
RH,prod16260030
RH,prod25080025
RH,prod14920044
RH,prod17660013
RH,prod13350014
RH,prod26350248
RH,prod25120620
RH,prod9300268
RH,prod8850001
RH,prod18860173
RH,prod24920115
RH,prod21350027
RH,prod17340140
RH,prod6371043
RH,prod23530365
RH,prod27940139
RH,prod24880425
RH,prod1871162
RH,prod18860237
RH,prod27380009
RH,prod1169001
RH,prod1679281
RH,prod20850151
RH,prod13070002
RH,prod18900022
RH,prod9810159
RH,prod17450476
RH,prod1619124
RH,prod12740428
RH,prod16790011
RH,prod18860231
RH,prod27210510
RH,prod17940053
BC,rhbc_prod498038
RH,prod17310064
RH,prod10810130
RH,prod18510102
RH,prod14900088
RH,prod26350074
RH,prod10740058
RH,prod27080291
RH,prod14340051
RH,prod25310132
RH,prod14970086
RH,prod23320188
RH,prod16030106
RH,prod25920044
RH,prod1553006
RH,prod13160116
RH,prod14890049
RH,prod10810131
RH,prod14920062
RH,prod25150389
RH,prod9300306
RH,prod14770001
RH,prod6451487
RH,prod16920082
RH,prod12740435
RH,prod17590063
RH,prod12310139
RH,prod13070019
RH,prod22790131
RH,prod6740340
RH,prod17070023
RH,prod17430087
RH,prod7571021
RH,prod19120194
RH,prod22350067
RH,prod17340184
RH,prod17860053
RH,prod17400313
RH,prod14460104
RH,prod1357021
RH,prod6452359
RH,prod24920123
RH,prod1860442
RH,prod1679250
RH,prod18890295
RH,prod1860800
RH,prod17340182
RH,prod18890272
RH,prod25150334
RH,prod14900096
RH,prod9550043
RH,prod22180179
RH,prod20850118
RH,prod3150287
RH,prod1159056
RH,prod10810115
RH,prod19220014
RH,prod12440040
RH,prod14970394
RH,prod25420141
RH,prod7920259
RH,prod9770233
RH,prod27650011
RH,prod8780261
RH,prod17491058
RH,prod13650100
RH,prod2270002
RH,prod19220031
RH,prod24980164
RH,prod21090042
RH,prod25130203
RH,prod6451787
RH,prod24980166
RH,prod6470320
RH,prod280189
RH,prod8040524
RH,prod17430468
RH,prod19660300
RH,prod13360565
RH,prod7580611
RH,prod10720080
RH,prod25380185
RH,prod24870078
RH,prod17310116
RH,prod19150372
RH,prod10810133
RH,prod2111189
RH,prod10830047
RH,prod15980129
RH,prod8790421
RH,prod1871334
RH,prod17310085
RH,prod16700134
RH,prod17310090
RH,prod2702029
TN,rhtn_prod101712
RH,prod12640168
RH,prod18950552
RH,prod2530027
RH,prod12410009
RH,prod27340047
RH,prod7200203
RH,prod18510007
RH,prod2090053
RH,prod21940006
RH,prod27700299
RH,prod13371017
RH,prod7571047
RH,prod10780159
RH,prod13270090
RH,prod25570333
RH,prod20670299
RH,prod410001
RH,prod6490272
RH,prod8460470
RH,prod9420087
RH,prod9190147
RH,prod4640153
RH,prod2702026
RH,prod7571046
RH,prod18860108
RH,prod6500206
RH,prod3070209
RH,prod16200046
RH,prod2280017
RH,prod17400106
RH,prod2701991
RH,prod20850059
RH,prod10720106
RH,prod18220179
RH,prod18950704
RH,prod16920138
RH,prod25150335
RH,prod23960150
RH,prod23460065
RH,prod19550176
RH,prod7820657
RH,prod12310143
RH,prod26920270
RH,prod7590026
RH,prod19120195
RH,prod15950111
RH,prod17550104
RH,prod20810193
RH,prod12310137
RH,prod12740440
RH,prod18940254
RH,prod7120034
RH,prod27520350
RH,prod2460681
RH,prod17310111
RH,prod24980165
RH,prod15950258
RH,prod17450479
RH,prod25140289
RH,prod20240038
RH,prod28320036
RH,prod27700117
RH,prod20580100
RH,prod1152108
RH,prod19580017
RH,prod1870763
RH,prod18130145
RH,prod1617003
RH,prod25130192
RH,prod14880064
RH,prod17310045
RH,prod25380181
RH,prod26350180
RH,prod1159292
RH,prod14410357
RH,prod19610058
RH,prod7551901
RH,prod17740358
RH,prod6250012
RH,prod17380295
RH,prod26350239
RH,prod6450138
RH,prod8780231
RH,prod20670278
RH,prod18950262
RH,prod14880048
RH,prod15180035
RH,prod25910046
RH,prod12140060
RH,prod18060042
RH,prod20810029
RH,prod20810032
RH,prod25140354
RH,prod20520082
RH,prod27760157
RH,prod17210089
RH,prod1690131
RH,prod19030106
RH,prod14890014
RH,prod17450490
RH,prod17460668
RH,prod20480115
RH,prod27510220
RH,prod18890273
RH,prod20470838
RH,prod2110328
RH,prod19220137
RH,prod9300294
RH,prod1860478
RH,prod14920041
RH,prod20810157
RH,prod9290093
RH,prod19030061
RH,prod14160066
RH,prod1292192
RH,prod19100011
RH,prod25140353
RH,prod8550689
RH,prod20510185
RH,prod27070269
RH,prod14880045
RH,prod2480705
RH,prod17590061
RH,prod13630050
RH,prod7411020
RH,prod1616003
RH,prod17380382
RH,prod19030117
RH,prod17990633
RH,prod9290077
RH,prod17810178
RH,prod23530347
RH,prod17810187
RH,prod14880054
RH,prod22040025
RH,prod14890007
RH,prod360104
RH,prod24920126
RH,prod9240008
RH,prod20480299
RH,prod2350167
RH,prod26320006
RH,prod16870088
RH,prod19220181
RH,prod6790114
RH,prod6451491
RH,prod12310141
RH,prod6470112
RH,prod9300304
BC,rhbc_prod257000
RH,prod8480015
RH,prod1275099
RH,prod18940257
RH,prod20810024
RH,prod14890227
RH,prod15920011
RH,prod26920271
RH,prod20670281
RH,prod25160056
RH,prod4670041
RH,prod14890046
RH,prod13070164
RH,prod22790119
RH,prod6490277
RH,prod20480407
RH,prod1214123
RH,prod2510501
RH,prod6452360
RH,prod2420812
RH,prod18530145
RH,prod1283065
RH,prod14340056
RH,prod1511028
RH,prod12740436
RH,prod20480256
RH,prod17450481
RH,prod26350369
RH,prod2140453
RH,prod9970027
RH,prod11600090
RH,prod21890323
RH,prod20810030
RH,prod17660290
RH,prod13160118
RH,prod20800380
RH,prod1283123
RH,prod16030157
RH,prod6250008
RH,prod27520348
RH,prod20480292
RH,prod16830439
RH,prod14890010
RH,prod9770228
RH,prod26290022
RH,prod14890125
RH,prod10810083
RH,prod14900056
MO,prod7620152
RH,prod15970068
RH,prod9290177
TN,rhtn_prod104568
RH,prod21350038
RH,prod14890015
RH,prod9590165
RH,prod16030097
RH,prod18200047
RH,prod6460615
RH,prod26350242
RH,prod9850118
RH,prod26350101
RH,prod23800371
RH,prod10030060
RH,prod2702031
RH,prod10740014
RH,prod17640035
RH,prod8760146
RH,prod7750076
RH,prod24530010
RH,prod17460669
RH,prod18130164
RH,prod1617015
RH,prod17310047
RH,prod19220056
RH,prod11070092
RH,prod18940450
RH,prod17390097
RH,prod14890011
BC,rhbc_prod961631
RH,prod18940250
RH,prod24920129
RH,prod20850152
RH,prod13130111
RH,prod2420829
RH,prod7660101
RH,prod20720074
RH,prod19220143
RH,prod19250168
RH,prod8760165
RH,prod20210012
RH,prod14890031
RH,prod26350104
RH,prod5700053
RH,prod10810107
RH,prod25160055
RH,prod20340034
RH,prod3070213
RHprod1169001,
RH,prod14880384
RH,prod25140346
RH,prod20850128
RH,prod20810164
RH,prod10810149
RH,prod25210390
RH,prod16380086
RH,prod17810179
RH,prod24950463
RH,prod17310097
RH,prod19040031
RH,prod25120611
RH,prod1158065
RH,prod20700077
RH,prod15970065
RH,prod3230371
RH,prod12900123
RH,prod18910101
RH,prod27560185
RH,prod6860017
RH,prod9290071
RH,prod25420140
RH,prod16030132
RH,prod13070170
RH,prod1292207
RH,prod24880461
RH,prod12900101
RH,prod18860118
RH,prod25910047
RH,prod18940251
RH,prod20950307
RH,prod24950523
RH,prod14280115
RH,prod24500051
RH,prod6470120
RH,prod1357023
RH,prod22500110
RH,prod17390094
RH,prod9900018
RH,prod12740166
RH,prod25140391
RH,prod14880385
RH,prod23460117
RH,prod2260030
RH,prod1633133
RH,prod17610298
RH,prod14890020
RH,prod10830048
RH,prod17430469
RH,prod20700075
RH,prod11830029
RH,prod26380009
RH,prod2290002
TN,rhtn_prod102612
RH,prod23320050
RH,prod25130201
RH,prod18340438
BC,rhbc_prod442375
RH,prod20770009
RH,prod19150436
RH,prod17370028
RH,prod23140020
RH,prod25130187
RH,prod20490009
RH,prod16200029
RH,prod1161240
RH,prod25140373
RH,prod25120570
RH,prod17990635
RH,prod26350168
RH,prod26350075
RH,prod17340181
RH,prod25130188
RH,prod15970070
RH,prod25090315
RH,prod2350107
RH,prod7410379
RH,prod18940281
RH,prod13100135
RH,prod1159302
RH,prod25210253
RH,prod150011
BC,rhbc_prod506023
RH,prod5420013
RH,prod25380158
RH,prod25140290
RH,prod691123
RH,prod20360506
RH,prod9290069
RH,prod14880052
RH,prod2702055
RH,prod25320208
RH,prod19770041
BC,rhbc_prod373116
RH,prod17740515
RH,prod17470757
TN,rhtn_prod104322
RH,prod17940061
RH,prod20010043
RH,prod23320186
RH,prod9340015
RH,prod9260109
RH,prod18950259
RH,prod12740545
RH,prod1677388
RH,prod6250014
RH,prod18890282
RH,prod18130161
RH,prod7410365
RH,prod18280073
RH,prod7830082
RH,prod14900099
RH,prod14890116
RH,prod7571049
RH,prod3110185
RH,prod14880381
RH,prod6510060
RH,prod12740431
RH,prod23540042
RH,prod14900064
RH,prod26350249
RH,prod16160206
RH,prod23810062
RH,prod15140022
RH,prod14770002
RH,prod20360493
RH,prod1323022
RH,prod17590059
RH,prod17450488
RH,prod10810114
RH,prod17680088
RH,prod26210410
RH,prod18790194
RH,prod19770074
RH,prod27580114
RH,prod22350044
RH,prod23320190
TN,rhtn_prod104821
RH,prod10310351
RH,prod25140352
RH,prod17430089
RH,prod7411003
RH,prod18890292
RH,prod12560008
RH,prod14450077
RH,prod18940258
RH,prod9300308
RH,prod10830045
RH,prod20500529
RH,prod18900021
RH,prod3240136
RH,prod1435019
RH,prod23530374
RH,prod26350105
RH,prod17590056
RH,prod1283053
RH,prod17400318
RH,prod80005
RH,prod25120568
RH,prod12740434
RH,prod7580610
BC,rhbc_prod379141
RH,prod25140291
RH,prod13990016
RH,prod21710014
RH,prod100010
RH,prod21280317
RH,prod6470123
RH,prod14280123
RH,prod25310139
RH,prod17940055
RH,prod15140019
RH,prod8480030
RH,prod26380024
BC,rhbc_prod732327
RH,prod14890117
RH,prod25250346
RH,prod27710274
RH,prod17740186
RH,prod18530144
RH,prod27520346
RH,prod12740172
RH,prod3870713
TN,rhtn_prod102614
RH,prod26380016
RH,prod19220358
RH,prod18940248
RH,prod25140374
RH,prod27510204
RH,prod11600089
RH,prod9970028
RH,prod27490095
RH,prod2780025
RH,prod18950028
RH,prod510012
RH,prod18200249
RH,prod14730239
RH,prod23910170
RH,prod25090532
RH,prod1161246
RH,prod17450644
TN,rhtn_prod105612
RH,prod17860054
RH,prod18920670
RH,prod690646
RH,prod1677105
RH,prod1158688
RH,prod25120563
RH,prod25740248
RH,prod19220140
RH,prod10840622
RH,prod20250029
RH,prod1606019
RH,prod24500045
RH,prod16030137
RH,prod25380159
RH,prod1654007
RH,prod17660008
BC,rhbc_prod482295
RH,prod24510149
RH,prod4650095
RH,prod27340048
RH,prod9290070
RH,prod17460661
RH,prod17430078
RH,prod20480452
RH,prod8420574
RH,prod22350038
RH,prod16260017
RH,prod14890224
RH,prod25210293
RH,prod11600104
RH,prod16830434
RH,prod60107
RH,prod3170338
RH,prod18420031
RH,prod2770034
RH,prod13410206
RH,prod17450494
RH,prod16830437
RH,prod25130191
RH,prod15890053
RH,prod25210400
RH,prod27070270
RH,prod22790134
RH,prod7571044
RH,prod22310101
RH,prod18860045
RH,prod2510502
RH,prod1730268
RH,prod25320207
RH,prod12440088
RH,prod15960062
RH,prod16540251
RH,prod14900098
RH,prod25140393
RH,prod17400022
RH,prod19220346
RH,prod19050365
BC,rhbc_prod693039
RH,prod17400021
RH,prod3110166
RH,prod2480735
RH,prod21350031
RH,prod25120413
RH,prod16010161
RH,prod2250006
RH,prod10740007
RH,prod21130136
RH,prod17310099
RH,prod25310080
RH,prod1730260
RH,prod17450654
RH,prod15620005
RH,prod2360058
RH,prod12810032
RH,prod20720091
RH,prod3041030
RH,prod12440082
RH,prod18860244
RH,prod26350350
RH,prod25650027
RH,prod12310149
RH,prod25140376
RH,prod25140361
RH,prod26350355
RH,prod6790030
RH,prod7410056
BC,rhbc_prod442402
RH,prod10770091
RH,prod2360025
RH,prod17450491
RH,prod8850002
RH,prod17491061
RH,prod8760164
RH,prod25380182
RH,prod2350163
RH,prod1158646
RH,prod12740541
RH,prod17310115
RH,prod18940253
RH,prod17210079
RH,prod15150070
RH,prod1692205
RH,prod23810064
RH,prod18910117
RH,prod9650020
BC,rhbc_prod506037
RH,prod25010257
RH,prod2110639
RH,prod18890301
RH,prod14970087
RH,prod26380028
RH,prod7920310
RH,prod9190145
RH,prod2570037
RH,prod12440038
RH,prod16180072
RH,prod25130204
RH,prod9850119
RH,prod9090154
RH,prod6750257
RH,prod3041031
RH,prod25140325
RH,prod10740015
RH,prod25140298
RH,prod24950406
RH,prod16020056
RH,prod9290083
RH,prod1159993
RH,prod25130310
RH,prod14880047
RH,prod18950027
RH,prod1161281
RH,prod17310071
RH,prod17310112
RH,prod2510379
RH,prod17310057
RH,prod5890018
RH,prod12840107
RH,prod25310143
RH,prod18860116
RH,prod8760147
RH,prod25120417
RH,prod25210213
RH,prod19030128
RH,prod24920134
TN,rhtn_prod103375
RH,prod26350367
RH,prod16010094
RH,prod19660021
RH,prod1306083
RH,prod6360201
RH,prod17980052
RH,prod16540216
RH,prod25310140
RH,prod13070159
RH,prod1160352
RH,prod9260033
RH,prod3110167
TN,rhtn_prod102284
RH,prod12440056
MO,prod14970086
RH,prod17480076
RH,prod690087
RH,prod14890168
RH,prod25610036
RH,prod17340172
RH,prod7000007
RH,prod6660061
RH,prod25180792
RH,prod18890304
RH,prod1692067
RH,prod17860055
RH,prod1166005
RH,prod24920131
RH,prod260110
RH,prod24500050
RH,prod25990183
RH,prod2350046
RH,prod9300471
RH,prod18860243
RH,prod22370150
RH,prod26350132
RH,prod19220022
RH,prod18940255
RH,prod20520282
RH,prod1159320
RH,prod16830435
RH,prod27650013
RH,prod9190133
RH,prod20670301
RH,prod7610536
RH,prod15980128
RH,prod24130079
RH,prod7410089
RH,prod16870082
RH,prod17990627
RH,prod27280037
RH,prod17380289
RH,prod17430083
RH,prod17590051
RH,prod17190014
RH,prod18080040
BC,rhbc_prod407029
RH,prod6452379
RH,prod100017
RH,prod17670607
RH,prod24510157
RH,prod19230218
RH,prod20770186
RH,prod17510019
RH,prod16200034
RH,prod20360492
RH,prod10890238
RH,prod7411001
RH,prod25090229
RH,prod1159420
RH,prod19700200
RH,prod18130180
RH,prod17380290
RH,prod24500026
BC,rhbc_prod506013
RH,prod7450268
RH,prod25320229
RH,prod18860107
RH,prod25140299
RH,prod18890278
RH,prod7710664
RH,prod20860033
RH,prod26320072
RH,prod16670158
RH,prod20810031
RH,prod22790122
RH,prod11830031
RH,prod26350357
RH,prod7571035
RH,prod17030216
RH,prod1677107
RH,prod24980074
RH,prod350105
RH,prod17590057
RH,prod25140304
RH,prod28370097
RH,prod19980010
RH,prod19250084
RH,prod17690514
RH,prod11910120
RH,prod11910121
RH,prod21270168
RH,prod2800063
RH,prod2110994
RH,prod2350026
RH,prod12310138
RH,prod9180264
RH,prod14970393
RH,prod6430261
RH,prod24520390
RH,prod25630249
RH,prod26100001
RH,prod12390041
RH,prod12310145
RH,prod25140375
BC,rhbc_prod693004
RH,prod18190072
RH,prod14880049
RH,prod12310144
RH,prod16030133
RH,prod2701366
RH,prod19350848
RH,prod3200105
RH,prod16020048
RH,prod6490090
CO,prod27700299
RH,prod18860112
RH,prod3170304
RH,prod7010018
RH,prod20480444
RH,prod11600168
RH,prod10810104
RH,prod12740439
RH,prod17310086
RH,prod17390115
RH,prod18340524
RH,prod17340183
RH,prod18220175
RH,prod7980590
RH,prod12440073
RH,prod20950315
RH,prod18510108
RH,prod25120483
RH,prod15920012
RH,prod2702024
RH,prod13800551
RH,prod17210092
RH,prod6430592
RH,prod17400329
RH,prod1160290
RH,prod2420866
RH,prod10780160
RH,prod18200427
RH,prod26380027
RH,prod25310076
RH,prod2350168
MO,prod7450474
RH,prod7610535
RH,prod17790023
RH,prod8420572
RH,prod17430467
RH,prod17450634
RH,prod1159177
RH,prod16380122
RH,prod26350362
RH,prod18950015
RH,prod25310075
RH,prod13070109
RH,prod24950509
RH,prod11820018
RH,prod27570926
RH,prod4670001
RH,prod17210080
RH,prod2110940
RH,prod14990027
RH,prod6500006
RH,prod16980122
RH,prod16200050
TN,rhtn_prod106307
RH,prod16830444
RH,prod23030001
RH,prod10740033
RH,prod14890169
RH,prod17740201
RH,prod18150429
RH,prod17310052
RH,prod25380189
RH,prod18940252
RH,prod12740444
RH,prod2140336
RH,prod20166
RH,prod22580035
RH,prod18890274
RH,prod27080277
RH,prod15940193
RH,prod360106
RH,prod12440078
RH,prod7411000
RH,prod22630052
RH,prod20840049
BC,rhbc_prod743000
RH,prod7450267
RH,prod26350102
RH,prod25280088
RH,prod17450515
RH,prod26750220
RH,prod26210422
RH,prod17140015
RH,prod18940195
RH,prod20800384
RH,prod1617149
RH,prod17400301
RH,prod1692062
RH,prod16180070
RH,prod1619200
RH,prod10100436
RH,prod24950531
RH,prod1630052
RH,prod27520349
RH,prod14880380
RH,prod18890307
RH,prod20850119
RH,prod9260043
RH,prod7410608
RH,prod9460122
RH,prod26350252
RH,prod15930055
RH,prod18510105
RH,prod6452138
RH,prod26350348
RH,prod1870673
RH,prod18890283
RH,prod9460026
RH,prod17340168
RH,prod24920122
RH,prod16440385
RH,prod7000018
RH,prod6740334
RH,prod19040903
RH,prod16010162
RH,prod25140300
BC,rhbc_prod364288
RH,prod1617244
RH,prod19030084
RH,prod17450655
RH,prod1152114
RH,prod10740026
RH,prod13800641
RH,prod26830087
RH,prod3140047
RH,prod15110002
RH,prod17480079
RH,prod7000008
RH,prod690088
RH,prod15940233
RH,prod16010180
TN,rhtn_prod102404
RH,prod24950515
RH,prod14880290
RH,prod27710273
RH,prod13330149
RH,prod14340055
RH,prod1159428
RH,prod14880099
RH,prod19660388
RH,prod20530133
RH,prod25180554
RH,prod9180303
RH,prod10740060
RH,prod13800150
RH,prod13100133
BC,rhbc_prod963381
RH,prod14890042
RH,prod15970069
RH,prod12900078
RH,prod25180790
RH,prod7410092
RH,prod13800611
RH,prod15050053
RH,prod18940249
RH,prod14890124
RH,prod14890230
RH,prod15080332
RH,prod20770013
RH,prod25320204
RH,prod1330003
RH,prod17340173
RH,prod19220032
RH,prod1860511
RH,prod25150333
RH,prod14180002
BC,rhbc_prod961618
RH,prod8790516
BC,rhbc_prod395180
RH,prod18940187
TN,rhtn_prod105617
RH,prod19300051
RH,prod17940054
RH,prod14920027
RH,prod17450513
RH,prod13330151
RH,prod25140396
RH,prod12640187
RH,prod9190149
RH,prod14880057
RH,prod14020079
RH,prod7620393
RH,prod14880146
RH,prod23140022
RH,prod13670218
RH,prod19250183
RH,prod16870089
RH,prod17430085
RH,prod16010160
RH,prod7920265
RH,prod6371041
RH,prod13670204
RH,prod17660016
RH,prod13160119
RH,prod19570115
RH,prod20098
RH,prod19820031
RH,prod20670279
RH,prod18940261
TN,rhtn_prod106796
RH,prod13230035
RH,prod16320028
RH,prod20950325
RH,prod18860229
TN,rhtn_prod102323
RH,prod12440052
RH,prod16350008
RH,prod10810082
RH,prod690007
RH,prod13330148
RH,prod20490107
RH,prod9300195
RH,prod16920072
RH,prod17810180
RH,prod15970066
RH,prod7450242
RH,prod25310079
RH,prod6740037
RH,prod7450345
RH,prod17310053
RH,prod8780243
RH,prod12310151
RH,prod6452179
BC,rhbc_prod693049
RH,prod1606005
RH,prod17810184
RH,prod12740547
RH,prod17030163
RH,prod18950012
RH,prod21270167
RH,prod1385016
RH,prod14880074
RH,prod10770026
RH,prod10740039
RH,prod20470409
RH,prod25120622
RH,prod10810098
RH,prod20670300
RH,prod17790050
RH,prod25650025
RH,prod26350131
RH,prod12740445
RH,prod18130152
RH,prod25140348
RH,prod17400286
RH,prod18510106
RH,prod10840526
RH,prod6452119
RH,prod17340170
RH,prod24860208
RH,prod25180901
RH,prod23350026
RH,prod19780164
RH,prod25140347
RH,prod7000006
RH,prod2110779
RH,prod12740168
RH,prod12800082
RH,prod16600114
RH,prod20810159
RH,prod20010003
RH,prod1617258
RH,prod25160058
RH,prod11220174
RH,prod17460986
RH,prod18510103
RH,prod1159328
RH,prod18950191
RH,prod26760194
RH,prod18910099
RH,prod18860067
RH,prod17790051
RH,prod9090125
RH,prod15040208
RH,prod20480221
RH,prod17290592
RH,prod14880046
RH,prod17310073
RH,prod9300292
RH,prod10810137
RH,prod2990704
RH,prod25210393
RH,prod6520427
RH,prod9340023
RH,prod17450496
RH,prod8550692
RH,prod17400107
RH,prod19550170
RH,prod20480455
RH,prod20290148
RH,prod20670332
RH,prod25120409
RH,prod2330022
CO,prod27080293
RH,prod20530132
RH,prod18950568
RH,prod19230227
RH,prod25120597
RH,prod1870701
BC,rhbc_prod962562
RH,prod9580053
RH,prod7650104
RH,prod15690042
RH,prod18910068
RH,prod7920291
RH,prod2110096
RH,prod25120614
RH,prod7690230
RH,prod2701362
RH,prod23320052
RH,prod10810148
RH,prod1159297
RH,prod19220354
RH,prod1157672
RH,prod16030107
RH,prod2090051
MO,prod8910675
RH,prod10720078
RH,prod25180781
RH,prod17470742
RH,prod17450480
RH,prod26600091
RH,prod20700073
RH,prod13800575
RH,prod14890226
TN,rhtn_prod106582
RH,prod24950481
RH,prod18860180
RH,prod13800581
RH,prod6452432
RH,prod25210392
RH,prod16700135
RH,prod1289003
RH,prod2460587
RH,prod11600092
RH,prod20361048
RH,prod15020052
RH,prod6250009
RH,prod26350143
RH,prod16540250
RH,prod1283044
BC,rhbc_prod963590
RH,prod16030180
RH,prod20490141
RH,prod9300472
RH,prod25380122
RH,prod26380023
RH,prod1160698
RH,prod25140033
RH,prod24950506
RH,prod14070073
RH,prod17980060
RH,prod20530098
RH,prod14970301
RH,prod1700125
RH,prod21890328
RH,prod16840028
TN,rhtn_prod104271
RH,prod7880584
RH,prod9390043
RH,prod25210351
RH,prod11820020
RH,prod25140414
RH,prod9090254
RH,prod1283097
RH,prod27560179
RH,prod22350047
RH,prod23530359
RH,prod1283113
RH,prod10310345
RH,prod7310004
RH,prod14880286
RH,prod14890171
RH,prod2360127
RH,prod21350039
RH,prod10920010
RH,prod23170185
RH,prod20950316
RH,prod7380015
RH,prod18940467
RH,prod20720056
RH,prod14880372
RH,prod24880426
RH,prod7450324
RH,prod12740193
RH,prod24950497
RH,prod17430401
RH,prod16210037
RH,prod2110092
RH,prod15500274
BC,rhbc_prod962688
RH,prod1283109
RH,prod19230205
RH,prod1557039
RH,prod17491059
RH,prod17380294
RH,prod25210395
RH,prod7750081
RH,prod20440077
RH,prod18950256
RH,prod3070506
RH,prod23530368
RH,prod17810181
RH,prod9260045
RH,prod15050014
RH,prod21930041
RH,prod9400072
RH,prod8900527
RH,prod7410369
RH,prod24920117
RH,prod14280116
RH,prod24980147
RH,prod20530089
RH,prod7920313
RH,prod18940011
RH,prod25120607
RH,prod1166003
RH,prod13890104
RH,prod24870077
RH,prod13370987
RH,prod19660022
RH,prod19230226
RH,prod17740350
RH,prod28220015
RH,prod22350053
RH,prod19040773
RH,prod2480064
RH,prod1283091
RH,prod21150077
RH,prod9300172
RH,prod7000019
RH,prod2410017